Dataset,OrigPropertyCode,ObservedProperty,DataType,StandardCode
QLDGovernment,COLOUR_CODE,col_hue_val_chrom,M,TRUE
QLDGovernment,MOISTURE_STAT,col_moisture_stat,M,TRUE
QLDGovernment,MOTT_NO,mott_no,M,TRUE
QLDGovernment,MOTT_TYPE,mott_type,M,TRUE
QLDGovernment,ABUNDANCE,mott_abun,M,TRUE
QLDGovernment,COLOUR_BOOK,COLOUR_BOOK,M,FALSE
QLDGovernment,COLOUR_CODE,mott_colour,M,TRUE
QLDGovernment,MOTT_SIZE,mott_size,M,TRUE
QLDGovernment,CONTRAST,mott_contrast,M,TRUE
QLDGovernment,MOISTURE_STAT,mott_moisture_stat,M,TRUE
QLDGovernment,BOUND_DISTINCT,mott_boun_distinct,M,TRUE
QLDGovernment,COARSE_FRAG_NO,cf_no,M,TRUE
QLDGovernment,ABUNDANCE,cf_abun,M,TRUE
QLDGovernment,LITH_CODE,cf_lith,M,TRUE
QLDGovernment,COARSE_FRAG_SIZE,cf_size,M,TRUE
QLDGovernment,SHAPE,cf_shape,M,TRUE
QLDGovernment,STRENGTH,cf_strength,M,TRUE
QLDGovernment,DISTRIBUTION,cf_distribution,M,TRUE
QLDGovernment,ALTERATION,ALTERATION,M,FALSE
QLDGovernment,STRUCT_NO,str_no,M,TRUE
QLDGovernment,PEDALITY_GRADE,str_ped_grade,M,TRUE
QLDGovernment,PEDALITY_SIZE,str_ped_size,M,TRUE
QLDGovernment,PEDALITY_TYPE,str_ped_type,M,TRUE
QLDGovernment,COMPOUND_PEDALITY,str_compound_ped,M,TRUE
QLDGovernment,CLODS_FRAGS,str_clods_frags,M,TRUE
QLDGovernment,SEG_NO,seg_no,M,TRUE
QLDGovernment,ABUNDANCE,seg_abun,M,TRUE
QLDGovernment,NATURE,seg_nature,M,TRUE
QLDGovernment,SEG_FORM,seg_form,M,TRUE
QLDGovernment,SEG_SIZE,seg_size,M,TRUE
QLDGovernment,STRENGTH,seg_strength,M,TRUE
QLDGovernment,MAGNETIC_ATTRIB,seg_magnetic_attr,M,TRUE
QLDGovernment,FAB_NO,fab_no,M,TRUE
QLDGovernment,FAB_TYPE,fab_type,M,TRUE
QLDGovernment,ABUNDANCE,fab_abun,M,TRUE
QLDGovernment,CUTAN_NO,cutan_no,M,TRUE
QLDGovernment,CUTAN_TYPE,cutan_type,M,TRUE
QLDGovernment,ABUNDANCE,cutan_abun,M,TRUE
QLDGovernment,DISTINCTNESS,cutan_distinct,M,TRUE
QLDGovernment,CRACK_NO,crack_no,M,TRUE
QLDGovernment,WIDTH,crack_width,M,TRUE
QLDGovernment,MACRO_NO,pore_no,M,TRUE
QLDGovernment,ABUNDANCE,pore_abun,M,TRUE
QLDGovernment,DIAMETER,pore_diameter,M,TRUE
QLDGovernment,STREN_NO,strg_no,M,TRUE
QLDGovernment,CLASS,strg_class,M,TRUE
QLDGovernment,WATER_STAT,strg_moisture_stat,M,TRUE
QLDGovernment,PAN_NO,pan_no,M,TRUE
QLDGovernment,PAN_TYPE,pan_type,M,TRUE
QLDGovernment,CEMENTATION,pan_cementation,M,TRUE
QLDGovernment,CONTINUITY,pan_continuity,M,TRUE
QLDGovernment,STRUCTURE,pan_structure,M,TRUE
QLDGovernment,ROOT_NO,root_no,M,TRUE
QLDGovernment,ABUNDANCE,root_abun,M,TRUE
QLDGovernment,ROOT_SIZE,root_size,M,TRUE
QLDGovernment,TEST_NO,TEST_NO,M,FALSE
QLDGovernment,TEST_TYPE,TEST_TYPE,M,FALSE
QLDGovernment,DEPTH,DEPTH,M,FALSE
QLDGovernment,VALUE,VALUE,M,FALSE
QLDGovernment,METHOD,METHOD,M,FALSE
QLDGovernment,NOTES,s_notes,M,TRUE
QLDGovernment,LAND_USE_CODE,o_land_use,M,TRUE
