AGENCY_CODE,LABM_CODE,LABP_CODE,LABMT_CODE,LABM_NAME,LABM_SHORT_NAME,LABM_UNITS,LABM_LOW_VALUE,LABM_HIGH_VALUE
999,12_HCL_FEO,TOTAL_ELEMENTS,12.065,Total element - Fe(%) - Total acid(HCl) extractable Fe2O3,Total Fe2O3,%,NA,NA
999,12_HCL_MN,TOTAL_ELEMENTS,12.053,Total element - Mn(mg/kg) - Total acid(HCl),Total Mn,mg/kg,NA,NA
999,12_HCL_ZN,TOTAL_ELEMENTS,12.062,Total element - Zn(mg/kg) - Total acid(HCl),Total Zn,mg/kg,NA,NA
999,12_HF_CU,TOTAL_ELEMENTS,12.041,Total element - Cu(mg/kg) - HF/HClO4 Digest,Total Cu,mg/kg,NA,NA
999,12_HF_FE,TOTAL_ELEMENTS,12.044,Total element - Fe(%) - HF/HClO4 Digest,Total Fe,%,NA,NA
999,12_HF_MN,TOTAL_ELEMENTS,12.043,Total element - Mn(mg/kg) - HF/HClO4 Digest,Total Mn,mg/kg,NA,NA
999,12_HF_ZN,TOTAL_ELEMENTS,12.042,Total element - Zn(mg/kg) - HF/HClO4 Digest,Total Zn,mg/kg,NA,NA
999,12_HF+_FEO,TOTAL_ELEMENTS,12.044,Total element - Fe(%) - HF/HClO4 Digest(Fe2O3),Total Fe,%,NA,NA
999,12_NR_CU,TOTAL_ELEMENTS,12.001,Total element - Cu(mg/kg) - Not recorded,Total Cu,mg/kg,NA,NA
999,12_NR_FE,TOTAL_ELEMENTS,12.004,Total element - Fe(%) - Not recorded,Total Fe,%,NA,NA
999,12_NR_MN,TOTAL_ELEMENTS,12.003,Total element - Mn(mg/kg) - Not recorded,Total Mn,mg/kg,NA,NA
999,12_NR_ZN,TOTAL_ELEMENTS,12.002,Total element - Zn(mg/kg) - Not recorded,Total Zn,mg/kg,NA,NA
999,12_XRF_CU,TOTAL_ELEMENTS,12.051,Total element - Cu(mg/kg) - X-Ray Fuoresence,Total Cu,mg/kg,NA,NA
999,12_XRF_FE,TOTAL_ELEMENTS,12.054,Total element - Fe(%) - X-Ray Fuoresence,Total Fe,%,NA,NA
999,12_XRF_FEO,TOTAL_ELEMENTS,12.055,Total element - Fe(%) - X-Ray Fuoresence (Fe2O3),Total Fe2O3,%,NA,NA
999,12_XRF_MN,TOTAL_ELEMENTS,12.053,Total element - Mn(mg/kg) - X-Ray Fuoresence,Total Mn,mg/kg,NA,NA
999,12_XRF_ZN,TOTAL_ELEMENTS,12.052,Total element - Zn(mg/kg) - X-Ray Fuoresence,Total Zn,mg/kg,NA,NA
999,12A1_AL,AL,12.014,"DTPA - extractable copper, zinc, manganese,aluminium and iron",Extractable Al,mg/kg,NA,NA
999,12A1_CU,CU,12.011,"DTPA - extractable copper, zinc, manganese and iron",Extractable Cu,mg/kg,NA,NA
999,12A1_FE,FE,12.014,"DTPA - extractable copper, zinc, manganese and iron",Extractable Fe,mg/kg,NA,NA
999,12A1_MN,MN,12.013,"DTPA - extractable copper, zinc, manganese and iron",Extractable Mn,mg/kg,NA,NA
999,12A1_ZN,ZN,12.012,"DTPA - extractable copper, zinc, manganese and iron",Extractable Zn,mg/kg,NA,NA
999,12B1_CU,CU,12.021,Ammonium bicarbonate/EDTA - extractable copper,Extractable Cu,mg/kg,NA,NA
999,12B1_FE,FE,12.024,Ammonium bicarbonate/EDTA - extractable Iron,Extractable Fe,mg/kg,NA,NA
999,12B1_MN,MN,12.023,Ammonium bicarbonate/EDTA - extractable manganese,Extractable Mn,mg/kg,NA,NA
999,12B1_ZN,ZN,12.022,Ammonium bicarbonate/EDTA - extractable zinc,Extractable Zn,mg/kg,NA,NA
999,12C1,BORON,12.03,Calcium chloride extractable boron - manual colour,Extractable B,mg/kg,NA,NA
999,12C2,BORON,12.03,Calcium chloride extractable boron - ICPAES,Extractable B,mg/kg,NA,NA
303,12C3,NA,NA,"Water extract, ICP",Water Extr B,NA,NA,NA
999,12D1_CU,CU,NA,"0.1 M HCl - extractable copper, zinc, manganese and iron",Extractable Cu,mg/kg,NA,NA
999,12D1_FE,FE,NA,"0.1 M HCl - extractable copper, zinc, manganese and iron",Extractable Fe,mg/kg,NA,NA
999,12D1_MN,MN,NA,"0.1 M HCl - extractable copper, zinc, manganese and iron",Extractable Mn,mg/kg,NA,NA
999,12D1_ZN,ZN,NA,"0.1 M HCl - extractable copper, zinc, manganese and iron",Extractable Zn,mg/kg,NA,NA
999,12E1,MO,NA,Calcium chloride - extractable Mo,Extractable Mo,mg/kg,NA,NA
999,13_C_FE,TOTAL_ELEMENTS,13.0011,Extractable Fe(%) - Method recorded as C,Extractable Fe,%,NA,NA
999,13_NR_AL,TOTAL_ELEMENTS,13.0021,Extractable Al(%) - Not recorded,Extractable Al,%,NA,NA
999,13_NR_FE,TOTAL_ELEMENTS,13.001,Extractable Fe(%) - Not recorded,Extractable Fe,%,NA,NA
999,13_NR_MN,TOTAL_ELEMENTS,13.0021,Extractable Mn(%) - Not recorded,Extractable Mn,%,NA,NA
303,13A1,NA,NA,Si,Si,NA,NA,NA
999,13A1_AL,AL,13.012,Oxalate-extractable aluminium,Extractable Al,%,NA,NA
999,13A1_FE,FE,13.011,Oxalate-extractable iron,Extractable Fe,%,NA,NA
999,13A1_MN,MN,13.013,Oxalate-extractable manganese,Extractable Mn,%,NA,NA
999,13A1_SI,SI,13.014,Oxalate-extractable silicon,Extractable Si,%,NA,NA
999,13B1_AL,AL,13.022,Pyrophosphate-extractable aluminium,Extractable Al,%,NA,NA
999,13B1_FE,FE,13.021,Pyrophosphate-extractable iron,Extractable Fe,%,NA,NA
999,13C_C_FE,TOTAL_ELEMENTS,13.03 ,Extractable Fe (Free) % - Method recorded as C,Extractable Fe(Free),%,NA,NA
999,13C1_AL,AL,13.032,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",Extractable Al,%,NA,NA
999,13C1_FE,FE,13.031,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",Extractable Fe,%,NA,NA
999,13C1_FE203,TOTAL_ELEMENTS,13.0311,Extractable Fe(Free) % - Citrate/Dithionite Extractable Fe2O3,Extractable Fe(Free),%,NA,NA
999,13C1_MN,MN,13.033,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",Extractable Mn,%,NA,NA
999,13C1_SI,SI,13.034,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",Extractable Si,%,NA,NA
999,13D1,SI,NA,Acid-extractable soil silicon - automated colour,Extractable Si,mg/kg,NA,NA
999,13D2,SI,NA,Acid-extractable soil silicon - ICPAES,Extractable Si,mg/kg,NA,NA
501,14_NR_S,NA,NA,NA,NA,NA,NA,NA
999,14A1,SE,14.01,Saturation extract - filter suction,Saturation extract,NA,NA,NA
999,14A2,SE,14.01,Saturation extract - automatic extractor,Saturation extract,NA,NA,NA
999,14A3,SE,14.01,"Saturation extract - centrifuge, closed system",Saturation extract,NA,NA,NA
999,14A4,SE,14.01,"Saturation extract - centrifuge, Gillman",Saturation extract,NA,NA,NA
999,14B1,EC,14.02,Electrical conductivity/SE,Ecx,dS/m,NA,NA
999,14C1,PH/SE,14.03,pH/SE,pH/SE,NA,NA,NA
999,14D1_BC,BICARB/SE,14.041,Bicarbonate/SE and carbonate/SE - potentiometric titration,Bicarbonate/SE,mequiv/L,NA,NA
303,14D1_BiCar,BICARB/SE,NA,Bicarbonate/SE - potentiometric titration,Bicarb/SE - titratio,NA,NA,NA
999,14D1_C,CARB/SE,14.042,Bicarbonate/SE and carbonate/SE - potentiometric titration,Carbonate/SE,mequiv/L,NA,NA
303,14D1_Carb,CARBONATES,NA,Carbonate/SE - potentiometric titration,Carb/SE - titration,NA,NA,NA
999,14D2_BC,BICARB/SE,14.041,Bicarbonate/SE and carbonate/SE - indicator method,Bicarbonate/SE,mequiv/L,NA,NA
303,14D2_BiCar,BICARB/SE,NA,Bicarbonate/SE  - indicator method,BiCarb/SE - indicato,NA,NA,NA
999,14D2_C,CARB/SE,14.042,Bicarbonate/SE and carbonate/SE - indicator method,Carbonate/SE,mequiv/L,NA,NA
303,14D2_Carb,CARBONATES,NA,Carbonate/SE - indicator method,Carb/SE - indicator,NA,NA,NA
999,14E1,CHLORIDE/SE,NA,Chloride/SE - potentiometric titration,Chloride/SE,mequiv/L,NA,NA
999,14E2,CHLORIDE/SE,14.05,Chloride/SE - ion chromatography,Chloride/SE,mequiv/L,NA,NA
999,14E2a,CHLORIDE/SE,NA,Chloride/SE - ion chromatography (chemical suppression of eluent conductivity),Chloride/SE,mequiv/L,NA,NA
999,14E2b,CHLORIDE/SE,NA,Chloride/SE - ion chromatography (single column with electronic suppression of eluent conductivity),Chloride/SE,mequiv/L,NA,NA
999,14E3,CHLORIDE/SE,14.06,Chloride/SE - ICPAES,Chloride/SE,mequiv/L,NA,NA
999,14F1,SULFATE/SE,14.06,Sulfate/SE - ICPAES,Sulfate/SE,mequiv/L,NA,NA
999,14F2,SULFATE/SE,14.06,Sulfate/SE - turbidimetric,Sulfate/SE,mequiv/L,NA,NA
999,14F3,SULFATE/SE,14.06,Sulfate/SE - gravimetric,Sulfate/SE,mequiv/L,NA,NA
999,14F4,SULFATE/SE,14.06,Sulfate/SE - automated colour,Sulfate/SE,mequiv/L,NA,NA
999,14F5,SULFATE/SE,14.06,Sulfate/SE - ion chromatography,Sulfate/SE,mequiv/L,NA,NA
999,14F5a,SULFATE/SE,NA,Sulfate/SE - ion chromatography (chemical suppression of eluent conductivity),Sulfate/SE,mequiv/L,NA,NA
999,14F5b,SULFATE/SE,NA,Sulfate/SE - ion chromatography (single column with electronic suppression of eluent conductivity),Sulfate/SE,mequiv/L,NA,NA
999,14G1,FLUORIDE/SE,14.07,Fluoride/SE - specific ion electrode,Fluoride/SE,mequiv/L,NA,NA
999,14G2,FLUORIDE/SE,14.07,Fluoride/SE - ion chromatography,Fluoride/SE,mequiv/L,NA,NA
999,14H1_CA,SOL_BASES_CA,14.081,"Soluble bases/SE (Ca,Mg,K,Na)",Soluble bases Ca,mg/L,NA,NA
999,14H1_K,SOL_BASES_K,14.083,"Soluble bases/SE (Ca,Mg,K,Na)",Soluble bases K,mg/L,NA,NA
999,14H1_MG,SOL_BASES_MG,14.082,"Soluble bases/SE (Ca,Mg,K,Na)",Soluble bases Mg,mg/L,NA,NA
999,14H1_NA,SOL_BASES_NA,14.084,"Soluble bases/SE (Ca,Mg,K,Na)",Soluble bases Na,mg/L,NA,NA
999,15_BASES,ECEC,15.131,Sum of Ex. cations + Ex. acidity - Sum of basic exch. cations,ECEC,meq/100g,NA,NA
999,15_HSK_CEC,CEC,15.00,CEC - meq per 100g of soil - HOSK,CEC,meq/100g,NA,NA
999,15_NR,ECEC,15.13,Sum of Ex. cations + Ex. acidity - Not recorded,ECEC,meq/100g,NA,NA
999,15_NR_AL,EXCH_AL,15.07,Aluminium Cation - meq per 100g of soil - Not recorded,Exch. Al++,meq/100g,NA,NA
501,15_NR_BSa,NA,NA,NA,NA,NA,NA,NA
999,15_NR_CA,EXCH_BASES_CA,15.001,Exch. basic cations (Ca++) - meq per 100g of soil - Not recorded,Exch. Ca++,meq/100g,NA,NA
999,15_NR_CEC,EXCH_BASES_CEC,15.0451,CEC - meq per 100g of soil - Not recorded,CEC,meq/100g,NA,NA
501,15_NR_CMR,NA,NA,NA,NA,NA,NA,NA
999,15_NR_H,EXCH_H,15.09,Hydrogen Cation - meq per 100g of soil - Not recorded,Exch. H+,meq/100g,NA,NA
999,15_NR_K,EXCH_BASES_K,15.003,Exch. basic cations (K++) - meq per 100g of soil - Not recorded,Exch. K++,meq/100g,NA,NA
999,15_NR_MG,EXCH_BASES_MG,15.002,Exch. basic cations (Mg++) - meq per 100g of soil - Not recorded,Exch. Mg++,meq/100g,NA,NA
501,15_NR_MN,NA,NA,NA,NA,NA,NA,NA
999,15_NR_NA,EXCH_BASES_NA,15.004,Exch. basic cations (Na++) - meq per 100g of soil - Not recorded,Exch. Na++,meq/100g,NA,NA
999,15A1_CA,EXCH_BASES_CA,15.011,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. Ca++,meq/100g,NA,NA
303,15A1_Ca_MQ,NA,NA,Exchangeable calcium,Exchangeable calcium,NA,NA,NA
501,15A1_CEC,NA,NA,Exchangeable bases,CEC,meq/100g,NA,NA
999,15A1_K,EXCH_BASES_K,15.013,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. K++,meq/100g,NA,NA
999,15A1_MG,EXCH_BASES_MG,15.012,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. Mg++,meq/100g,NA,NA
303,15A1_Mg_MQ,NA,NA,Exchangeable magnesium,Exchangeable magnesi,NA,NA,NA
501,15A1_MN,NA,NA,NA,NA,NA,NA,NA
999,15A1_NA,EXCH_BASES_NA,15.014,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. Na++,meq/100g,NA,NA
999,15A2_CA,EXCH_BASES_CA,15.021,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. Ca++,meq/100g,NA,NA
999,15A2_CEC,EXCH_BASES_CEC,15.025,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",CEC,meq/100g,NA,NA
999,15A2_K,EXCH_BASES_K,15.023,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. K++,meq/100g,NA,NA
999,15A2_MG,EXCH_BASES_MG,15.022,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. Mg++,meq/100g,NA,NA
999,15A2_NA,EXCH_BASES_NA,15.024,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. Na++,meq/100g,NA,NA
999,15A3_CA,EXCH_BASES_CA,15.021,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. Ca++,meq/100g,NA,NA
999,15A3_CEC,EXCH_BASES_CEC,15.025,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",CEC,meq/100g,NA,NA
999,15A3_K,EXCH_BASES_K,15.023,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. K++,meq/100g,NA,NA
999,15A3_MG,EXCH_BASES_MG,15.022,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. Mg++,meq/100g,NA,NA
999,15A3_NA,EXCH_BASES_NA,15.024,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. Na++,meq/100g,NA,NA
999,15B1_CA,EXCH_BASES_CA,15.011,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. Ca++,meq/100g,NA,NA
999,15B1_CEC,EXCH_BASES_CEC,15.013,"CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",CEC,meq/100g,NA,NA
999,15B1_K,EXCH_BASES_K,15.013,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. K++,meq/100g,NA,NA
999,15B1_MG,EXCH_BASES_MG,15.012,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. Mg++,meq/100g,NA,NA
999,15B1_NA,EXCH_BASES_NA,15.014,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. Na++,meq/100g,NA,NA
999,15B2_CA,EXCH_BASES_CA,15.021,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. Ca++,meq/100g,NA,NA
999,15B2_CEC,EXCH_BASES_CEC,15.025,"CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",CEC,meq/100g,NA,NA
999,15B2_K,EXCH_BASES_K,15.023,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. K++,meq/100g,NA,NA
999,15B2_MG,EXCH_BASES_MG,15.022,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. Mg++,meq/100g,NA,NA
999,15B2_NA,EXCH_BASES_NA,15.024,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. Na++,meq/100g,NA,NA
999,15B3_CA,EXCH_BASES_CA,15.021,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. Ca++,meq/100g,NA,NA
999,15B3_CEC,EXCH_BASES_CEC,15.025,"CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",CEC,meq/100g,NA,NA
999,15B3_K,EXCH_BASES_K,15.023,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. K++,meq/100g,NA,NA
999,15B3_MG,EXCH_BASES_MG,15.022,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. Mg++,meq/100g,NA,NA
999,15B3_NA,EXCH_BASES_NA,15.024,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. Na++,meq/100g,NA,NA
999,15C1_CA,EXCH_BASES_CA,15.031,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",Exch. Ca++,meq/100g,NA,NA
303,15C1_Ca_MQ,NA,NA,Exchangeable calcium,Exchangeable calcium,NA,NA,NA
999,15C1_CEC,EXCH_BASES_CEC,15.035,"CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",CEC,meq/100g,NA,NA
999,15C1_K,EXCH_BASES_K,15.033,"Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",Exch. K++,meq/100g,NA,NA
999,15C1_MG,EXCH_BASES_MG,15.032,"Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",Exch. Mg++,meq/100g,NA,NA
303,15C1_Mg_MQ,NA,NA,Exchangeable magnesium,Exchangeable magnesi,NA,NA,NA
999,15C1_NA,EXCH_BASES_NA,15.034,"Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",Exch. Na++,meq/100g,NA,NA
999,15C2_CA,EXCH_BASES_CA,NA,Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy,Exch. Ca++,meq/100g,NA,NA
303,15C2_Ca_MQ,NA,NA,Exchangeable calcium - MIR QLD Calibration 1,Exchangeable calcium,NA,NA,NA
999,15C2_CEC,EXCH_BASES_CEC,NA,Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy,CEC,meq/100g,NA,NA
303,15C2_CEC_M,CEC,NA,Cation exchange capacity - MIR QLD Calibration 1,Cation exchange capa,NA,NA,NA
999,15C2_MG,EXCH_BASES_MG,NA,Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy,Exch. Mg++,meq/100g,NA,NA
303,15C2_Mg_MQ,NA,NA,Exchangeable magnesium - MIR QLD Calibration 1,Exchangeable magnesi,NA,NA,NA
501,15D1_AL,NA,NA,NA,NA,NA,NA,NA
999,15D1_CA,EXCH_BASES_CA,15.021,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",Exch. Ca++,meq/100g,NA,NA
999,15D1_CEC,EXCH_BASES_CEC,15.025,"CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",CEC,meq/100g,NA,NA
999,15D1_K,EXCH_BASES_K,15.023,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",Exch. K++,meq/100g,NA,NA
999,15D1_MG,EXCH_BASES_MG,15.022,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",Exch. Mg++,meq/100g,NA,NA
999,15D1_NA,EXCH_BASES_NA,15.024,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",Exch. Na++,meq/100g,NA,NA
999,15D2_CA,EXCH_BASES_CA,15.021,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; automatic extractor",Exch. Ca++,meq/100g,NA,NA
999,15D2_CEC,EXCH_BASES_CEC,15.025,"CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; automatic extractor",CEC,meq/100g,NA,NA
999,15D2_K,EXCH_BASES_K,15.023,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic",Exch. K++,meq/100g,NA,NA
999,15D2_MG,EXCH_BASES_MG,15.022,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic",Exch. Mg++,meq/100g,NA,NA
999,15D2_NA,EXCH_BASES_NA,15.024,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic",Exch. Na++,meq/100g,NA,NA
999,15D3_CA,EXCH_BASES_CA,15.011,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts",Exch. Ca++,meq/100g,NA,NA
999,15D3_K,EXCH_BASES_K,15.013,"Exchangeable bases - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts",Exch. K++,meq/100g,NA,NA
999,15D3_MG,EXCH_BASES_MG,15.012,"Exchangeable bases - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts",Exch. Mg++,meq/100g,NA,NA
999,15D3_NA,EXCH_BASES_NA,15.014,"Exchangeable bases - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts",Exch. Na++,meq/100g,NA,NA
999,15E1,NA,NA,Exchangeable bases,CEC,meq/100g,NA,NA
999,15E1_AEC,EXCH_BASES_AEC,15.046,"Exchangeable bases , CEC and AEC by compulsive exchange, no pretreatment for soluble salts",AEC,meq/100g,NA,NA
999,15E1_AL,EXCH_AL,15.047,"Exchangeable Al - by compulsive exchange, no pretreatment for soluble salts",Exch. Al++,meq/100g,NA,NA
999,15E1_CA,EXCH_BASES_CA,15.041,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) by compulsive exchange, no pretreatment for soluble salts",Exch. Ca++,meq/100g,NA,NA
999,15E1_CEC,EXCH_BASES_CEC,15.045,"CEC by compulsive exchange, no pretreatment for soluble salts",CEC,meq/100g,NA,NA
999,15E1_H,EXCH_H,15.048,"Exchangeable H - by compulsive exchange, no pretreatment for soluble salts",Exch. H+,meq/100g,NA,NA
999,15E1_K,EXCH_BASES_K,15.043,"Exchangeable bases, CEC and AEC by compulsive exchange, no pretreatment for soluble salts",Exch. K++,meq/100g,NA,NA
999,15E1_MG,EXCH_BASES_MG,15.042,"Exchangeable bases, CEC and AEC by compulsive exchange, no pretreatment for soluble salts",Exch. Mg++,meq/100g,NA,NA
501,15E1_MN,NA,NA,NA,NA,NA,NA,NA
999,15E1_NA,EXCH_BASES_NA,15.044,"Exchangeable bases, CEC and AEC by compulsive exchange, no pretreatment for soluble salts",Exch. Na++,meq/100g,NA,NA
999,15E2_AEC,EXCH_BASES_AEC,15.056,"Exchangeable bases, CEC and AEC by compulsive exchange, pretreatment for soluble salts",AEC,meq/100g,NA,NA
999,15E2_CA,EXCH_BASES_CA,15.051,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) by compulsive exchange, pretreatment for soluble salts",Exch. Ca++,meq/100g,NA,NA
999,15E2_CEC,EXCH_BASES_CEC,15.055,"CEC by compulsive exchange, pretreatment for soluble salts",CEC,meq/100g,NA,NA
999,15E2_K,EXCH_BASES_K,15.053,"Exchangeable bases, CEC and AEC by compulsive exchange, pretreatment for soluble salts",Exch. K++,meq/100g,NA,NA
999,15E2_MG,EXCH_BASES_MG,15.052,"Exchangeable bases, CEC and AEC by compulsive exchange, pretreatment for soluble salts",Exch. Mg++,meq/100g,NA,NA
999,15E2_NA,EXCH_BASES_NA,15.054,"Exchangeable bases, CEC and AEC by compulsive exchange, pretreatment for soluble salts",Exch. Na++,meq/100g,NA,NA
999,15E3_AEC,EXCH_BASES_AEC,15.056,"Exchangeable bases, CEC and AEC by compulsive exchange, adjusted for soluble sodium",AEC,meq/100g,NA,NA
999,15E3_CA,EXCH_BASES_CA,15.051,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) by compulsive exchange, adjusted for soluble sodium",Exch. Ca++,meq/100g,NA,NA
999,15E3_CEC,EXCH_BASES_CEC,15.055,"CEC by compulsive exchange, adjusted for soluble sodium",CEC,meq/100g,NA,NA
999,15E3_K,EXCH_BASES_K,15.053,"Exchangeable bases, CEC and AEC by compulsive exchange, adjusted for soluble sodium",Exch. K++,meq/100g,NA,NA
999,15E3_MG,EXCH_BASES_MG,15.052,"Exchangeable bases, CEC and AEC by compulsive exchange, adjusted for soluble sodium",Exch. Mg++,meq/100g,NA,NA
999,15E3_NA,EXCH_BASES_NA,15.054,"Exchangeable bases, CEC and AEC by compulsive exchange, adjusted for soluble sodium",Exch. Na++,meq/100g,NA,NA
