TableName,ColumnName,DomainName,Description,DataType,
CUTANS,CUTAN_ABUN,N_CUTAN_ABUN,Abundance of cutan p183,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/cutans-abundance
CUTANS,CUTAN_DISTINCT,C_CUTAN_DISTINCT,Distinctness of cutan p183,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/cutans-distinctness
FABRICS,FAB_NO,,Fabric number,INTEGER,
FABRICS,FAB_TYPE,C_FAB_TYPE,Fabric type p181,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/fabric
FABRICS,FAB_ABUN,N_CF_ABUN,Fabric abundance,VARCHAR,
HORIZONS,H_NO,,Horizon identifier,INTEGER,
HORIZONS,H_DESIG_NUM_PREF,,"Horizon numeric prefix, p148",INTEGER,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/horizon
HORIZONS,H_DESIG_MASTER,,"Master horizon designation, e.g. A1, B2 p148",VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/horizon
HORIZONS,H_DESIG_SUBDIV,,"Horizon subdivision, 1, 2 etc p155",INTEGER,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/horizon
HORIZONS,H_DESIG_SUFFIX,,"Horizon suffix, e.g., b, c, d p153",VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/horizon-suffix
HORIZONS,H_UPPER_DEPTH,,Upper depth (m) p156,FLOAT,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/depth-of-horizons
HORIZONS,H_LOWER_DEPTH,,Lower depth (m) p156,FLOAT,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/depth-of-horizons
HORIZONS,H_TEXTURE,C_H_TEXTURE,"Field texture (mineral soils), including modifiers p161",VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_field-texture-mineral
HORIZONS,H_TEXTURE_QUAL,C_H_TEXTURE_QUAL,Field texture qualification p166,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_field-texture-mineral
HORIZONS,H_SOIL_WATER_STAT,C_SOIL_WATER_STAT,Soil water status p186,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/soil-water-status
HORIZONS,H_STICKINESS,C_H_STICKINESS,"Consistence, stickiness p187",VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/consistence-stickiness
HORIZONS,H_PLASTICITY_TYPE,C_H_PLASTICITY_TYPE,"Consistence, type of plasticity p188",VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/consistence-plasticity-type
HORIZONS,H_PLASTICITY_DEG,C_H_PLASTICITY_DEG,"Consistence, degree of plasticity p188",VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/consistence-plasticity-degree
HORIZONS,H_WATER_REPELLENCE,C_H_WATER_REPELLENCE,Water repellence p191,VARCHAR,
HORIZONS,H_CARBONATE_EFF,C_H_CARBONATE_EFF,Effervescence of carbonate in fine earth p198,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/effervescence-of-carbonate-in-fine-earth
HORIZONS,H_BOUND_DISTINCT,N_H_BOUND_DISTINCT,Distinctness of boundary between horizons p199,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/horizon-boundary-distinctness
HORIZONS,H_BOUND_SHAPE,C_H_BOUND_SHAPE,Shape of boundary between horizons p200,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/horizon-boundary-shape
HORIZONS,H_PERMEABILITY,C_PERMEABILITY,"Soil water regime, permeability p200",VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/soil-water-permeability
HORIZONS,H_NOTES,,"Free text notes, additional field",VARCHAR,
LAND _COVER,LCOV_NO,,Land cover number,INTEGER,
LAND _COVER,LCOV_DATE,,Date land cover observed ddmmyyyy,VARCHAR,
LAND _COVER,LCOV_REF,C_LAND_COVER_REF,Land cover reference e.g. FAO Land Cover Version 2,VARCHAR,
LAND _COVER,LAND_COVER,C_LAND_COVER,Land cover code,VARCHAR,
LAND_USES,LUSE_NO,,Land use number,INTEGER,
LAND_USES,LUSE_DATE,,Date land use observed or started,VARCHAR,
LAND_USES,LUSE_END_DATE,,End date for land use ddmmyyyy,VARCHAR,
LAND_USES,LUSE_REF,C_LAND_USE_REF,Land use reference e.g. ALUM Version 6,VARCHAR,
LAND_USES,LAND_USE,C_LAND_USE,Land use code,VARCHAR,
MICRORELIEFS,MR_NO,,Microrelief number,INTEGER,
MICRORELIEFS,MR_TYPE,C_MR_TYPE,Type of microrelief p129,VARCHAR,
MICRORELIEFS,MR_PROP_GILGAI,C_MR_PROP_GILGAI,Proportions of gilgai components p130,VARCHAR,
MICRORELIEFS,MR_BIOTIC_AGENT,C_MR_BIOTIC_AGENT,Biotic microrelief (agent) p131,VARCHAR,
MICRORELIEFS,MR_BIOTIC_COMP,C_MR_BIOTIC_COMP,Component of biotic microrelief p133,VARCHAR,
MICRORELIEFS,MR_VERTICAL_INT,,Vertical interval (m) p133,FLOAT,
MICRORELIEFS,MR_HORIZ_INT,,Horizontal interval (m) p133,FLOAT,
MOTTLES,MOTT_NO,,Mottle number,INTEGER,
MOTTLES,MOTT_TYPE,C_MOTT_TYPE,Mottle type p160,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/mottle-type
MOTTLES,MOTT_ABUN,N_MOTT_ABUN,Mottle abundance p160,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/mottle-abundance
MOTTLES,MOTT_SIZE,N_MOTT_SIZE,Mottle size p160,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/mottle-size
MOTTLES,MOTT_CONTRAST,C_CONTRAST,Mottle contrast p160,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/mottle-constrast
MOTTLES,MOTT_HUE_VAL_CHROM,C_MUNSELL_COLOUR,Colour  for decode,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/colour
MOTTLES,MOTT_HUE,,Mottle hue p159,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/colour
MOTTLES,MOTT_VALUE,,Mottle value p159,FLOAT,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/colour
MOTTLES,MOTT_CHROMA,,Mottle chroma  p159,FLOAT,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/colour
MOTTLES,MOTT_MOISTURE_STAT,C_MOISTURE_STAT,Mottle colour moisture status p159,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_colour-stat
MOTTLES,MOTT_COLOUR,C_MOTT_COLOUR,"Mottle colour i.e. old colours R, O, B etc p161",VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/mottle-colour
MOTTLES,MOTT_BOUN_DISTINCT,C_MOTT_BOUN_DISTINCT,Distinctness of boundaries (colour boundaries) p161,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/mottle-boundary-distinctness
OBSERVATIONS,O_TYPE,C_O_TYPE,"Type of soil observation, e.g. Soil pit, etc p147",VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/type-of-soil-observation
OBSERVATIONS,O_NATURE,C_O_NATURE,"Nature of observation e.g. characterisation, single, etc",VARCHAR,
OBSERVATIONS,O_DESC_BY,,Officer code p13,VARCHAR,
OBSERVATIONS,O_DATE_DESC,,Date site described p13,VARCHAR,
OBSERVATIONS,O_AMG_ZONE,,Australian map grid zone p8,INTEGER,
OBSERVATIONS,O_EASTING,,AMG easting (m) p8,INTEGER,
OBSERVATIONS,O_NORTHING,,AMG northing (m) p8,INTEGER,
OBSERVATIONS,O_LATITUDE,,Latitude decimal degrees p9,FLOAT,
OBSERVATIONS,O_LONGITUDE,,Longitude decimal degrees p9,FLOAT,
OBSERVATIONS,O_DATUM,,Datum of the coordinates p7,VARCHAR,
OBSERVATIONS,O_LATITUDE_GDA94,,Latitude decimal degrees,FLOAT,
OBSERVATIONS,O_LONGITUDE_GDA94,,Longitude decimal degrees,FLOAT,
OBSERVATIONS,O_LOCATION_STATE,,"State e.g. TAS, NSW, VIC etc",VARCHAR,
OBSERVATIONS,O_LOCATION_NOTES,,Free text location notes,VARCHAR,
OBSERVATIONS,O_PHOTO_EAST,,Air photo site reference mm east p11,INTEGER,
OBSERVATIONS,O_PHOTO_NORTH,,Air photo site reference mm north p11,INTEGER,
OBSERVATIONS,O_LAND_USE,C_LAND_USE,Land use code,VARCHAR,
OBSERVATIONS,O_FOREST_TYPE,C_O_FOREST_TYPE,Type of forest p73 (2nd Ed),VARCHAR,
OBSERVATIONS,O_RF_COMPLEX,C_O_RF_COMPLEX,Rainforest complexity p77 (2nd Ed),VARCHAR,
OBSERVATIONS,O_RF_LEAFSIZE,C_O_RF_LEAFSIZE,Rainforest leaf size of tallest stratum trees p81 (2nd Ed),VARCHAR,
OBSERVATIONS,O_RF_FLOR_COMP,C_O_RF_FLOR_COMP,Rainforest floristic composition of tallest stratum trees p83 (2nd Ed),VARCHAR,
OBSERVATIONS,O_RF_INDICATOR,C_O_RF_INDICATOR,Rainforest indicator growth form p84 (2nd Ed),VARCHAR,
OBSERVATIONS,O_RF_EMERGENTS,C_O_RF_EMERGENTS,Rainforest emergents p85,VARCHAR,
OBSERVATIONS,O_SCLEROPHYLL,,"Sclerophyll presence in canopy p63,85 (2nd Ed)",VARCHAR,
OBSERVATIONS,O_VEG_NOTES,,Free text vegetation notes,VARCHAR,
OBSERVATIONS,O_ASPECT,,Aspect (nearest 10 degrees) p127,INTEGER,
OBSERVATIONS,O_ELEVATION_EVAL,C_O_EVALUATION,Elevation evaluation p127,VARCHAR,
OBSERVATIONS,O_ELEVATION_PF,,Elevation prefix,VARCHAR,
OBSERVATIONS,O_ELEVATION,,Elevation (m above sea level) p128,INTEGER,
OBSERVATIONS,O_DRAINAGE_EVAL,C_O_EVALUATION,Drainage height evaluation p128,VARCHAR,
OBSERVATIONS,O_DRAINAGE_HEIGHT,,Drainage height value (m) p128,FLOAT,
OBSERVATIONS,O_DRAINAGE,C_O_DRAINAGE,"Drainage, soil water regime, p202",VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/soil-water-drainage
OBSERVATIONS,O_MR_SAMPLED,C_O_MR_SAMPLED,Component of microrelief sampled p133,VARCHAR,
OBSERVATIONS,O_SOIL_DISTURB,C_O_SOIL_DISTURB,Soil disturbance,VARCHAR,
OBSERVATIONS,O_GRND_COV_LEVEL_MIN,,Minimum level of flattened groundcover,INTEGER,
OBSERVATIONS,O_GRND_COV_LEVEL_MAX,,Maximum  level of flattened groundcover,INTEGER,
OBSERVATIONS,O_GRND_COV_HEIGHT_MIN,,Minimum  height of groundcover,INTEGER,
OBSERVATIONS,O_GRND_COV_HEIGHT_MAX,,Maximum  height of groundcoveR,INTEGER,
OBSERVATIONS,O_WIND_STATE,C_O_ER_STATE,Wind erosion state p134,VARCHAR,
OBSERVATIONS,O_WIND_DEG,C_O_WIND_DEG,Wind erosion degree p134,VARCHAR,
OBSERVATIONS,O_WIND_STABILITY,C_O_WIND_STABILTY,Wind erosion stability from,VARCHAR,
OBSERVATIONS,O_WIND_VISIBILITY,C_O_WIND_VISIBILITY,Wind erosion occurring on the day,VARCHAR,
OBSERVATIONS,O_SCALD_DEG,C_O_SCALD_DEG,Scald erosion degree p135,VARCHAR,
OBSERVATIONS,O_SHEET_STATE,C_O_ER_STATE,Sheet erosion state p135,VARCHAR,
OBSERVATIONS,O_SHEET_DEG,C_O_SHEET_DEG,Sheet erosion degree p135,VARCHAR,
OBSERVATIONS,O_WAVE_STATE,C_O_ER_STATE,Wave erosion state p137,VARCHAR,
OBSERVATIONS,O_WAVE_DEG,C_O_WAVE_DEG,Wave erosion degree p137,VARCHAR,
OBSERVATIONS,O_RILL_STATE,C_O_ER_STATE,Rill erosion state p136,VARCHAR,
OBSERVATIONS,O_RILL_DEG,C_O_RILL_DEG,Rill erosion degree p136,VARCHAR,
OBSERVATIONS,O_MASS_STATE,C_O_ER_STATE,Mass movement erosion state p138,VARCHAR,
OBSERVATIONS,O_MASS_DEG,C_O_MASS_DEG,Mass movement erosion state p138,VARCHAR,
OBSERVATIONS,O_GULLY_STATE,C_O_ER_STATE,Gully erosion state p137,VARCHAR,
OBSERVATIONS,O_GULLY_DEG,N_O_GULLY_DEG,Gully erosion degree p137,VARCHAR,
OBSERVATIONS,O_STBANK_STATE,C_O_ER_STATE,Stream bank erosion state p137,VARCHAR,
OBSERVATIONS,O_STBANK_DEG,C_O_STBANK_DEG,Stream bank erosion degree p137,VARCHAR,
OBSERVATIONS,O_TUNNEL_STATE,C_O_ER_STATE,Tunnel erosion state p137,VARCHAR,
OBSERVATIONS,O_TUNNEL_DEG,C_O_TUNNEL_DEG,Tunnel erosion degree p137,VARCHAR,
OBSERVATIONS,O_OTHER_ER_STATE,C_O_ER_STATE,"Other erosion state, p134",VARCHAR,
OBSERVATIONS,O_OTHER_ER_DEG,C_O_OTHER_ER_DEG,"Other erosion degree, p134",VARCHAR,
OBSERVATIONS,O_OTHER_ER_TYPE,C_O_OTHER_ER_TYPE,"Other erosion type, free text, Additional field",VARCHAR,
OBSERVATIONS,O_GULLY_DEPTH,N_O_GULLY_DEPTH,Gully depth p137,VARCHAR,
OBSERVATIONS,O_AGGRADATION,C_O_AGGRADATION,Aggradation p138,VARCHAR,
OBSERVATIONS,O_INUND_FREQ,C_O_INUND_FREQ,Inundation frequency p138,VARCHAR,
OBSERVATIONS,O_INUND_DUR,N_O_INUND_DUR,Inundation duration (annual) p139,VARCHAR,
OBSERVATIONS,O_INUND_DEPTH,N_O_INUND_DEPTH,Inundation depth (annual) p139,VARCHAR,
OBSERVATIONS,O_INUND_RUNON_VEL,N_O_INUND_RUNON_VEL,Inundation runon velocity p139,VARCHAR,
OBSERVATIONS,O_DEPTH_WATER,,Depth to free water (m) p144,FLOAT,
OBSERVATIONS,O_DEPTH_WATER_PREF,C_O_DEPTH_WATER_PREF,"Depth to free water prefix: +,-,0 p144",VARCHAR,
OBSERVATIONS,O_DEPTH_RHORIZON_PF,,Depth to R horizon prefix,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/depth-to-r-horizon
OBSERVATIONS,O_DEPTH_RHORIZON,,Depth to R horizon or strongly cemented pan p156,FLOAT,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/depth-to-r-horizon
OBSERVATIONS,O_RUNOFF,C_O_RUNOFF,Runoff p144,VARCHAR,
OBSERVATIONS,O_PERMEABILITY,C_PERMEABILITY,Permeability p200,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/soil-water-permeability
OBSERVATIONS,O_SB_OBS_TYPE,C_O_SB_OBS_TYPE,Substrate type of observation p205,VARCHAR,
OBSERVATIONS,O_SB_DISTANCE,,Substrate distance (m) p206,FLOAT,
OBSERVATIONS,O_SB_CONFIDENCE,C_O_SB_CONFIDENCE,Substrate confidence p206,VARCHAR,
OBSERVATIONS,O_SB_DEPTH_PF,,Substrate depth prefix,VARCHAR,
OBSERVATIONS,O_SB_DEPTH,,Substrate depth (m) p206,FLOAT,
OBSERVATIONS,O_SB_GRAIN_SIZE,N_O_SB_GRAIN_SIZE,Substrate grain size p206,VARCHAR,
OBSERVATIONS,O_SB_TEXTURE,C_O_SB_TEXTURE,Substrate texture  p207,VARCHAR,
OBSERVATIONS,O_SB_STRUCTURE,C_O_SB_STRUCTURE,Substrate structure p207,VARCHAR,
OBSERVATIONS,O_SB_POROSITY,C_O_SB_POROSITY,Substrate porosity p208,VARCHAR,
OBSERVATIONS,O_SB_STRENGTH,C_STRENGTH,Substrate strength p209,VARCHAR,
OBSERVATIONS,O_SB_LITH,C_LITHOLOGY,Substrate lithology p209,VARCHAR,
OBSERVATIONS,O_SB_MASS_SPAC_DIS,N_O_SB_MASS_SPAC_DIS,Substrate mass spacing of discontinuities p210,VARCHAR,
OBSERVATIONS,O_SB_MASS_ALT,C_O_SB_MASS_ALT,Substrate mass alteration,VARCHAR,
OBSERVATIONS,O_SB_MASS_STRENGTH,C_O_SB_MASS_STRENGTH,Substrate mass strength p211,VARCHAR,
OBSERVATIONS,O_SB_MASS_GEN_TYPE,C_O_SB_MASS_GEN_TYPE,Substrate mass genetic type p216,VARCHAR,
OBSERVATIONS,O_SUBSTRATE_NOTES,,Free text substrate notes,VARCHAR,
OBSERVATIONS,O_PPF,,Principal profile form,VARCHAR,
OBSERVATIONS,O_GSG,C_O_GSG,Great soil group,VARCHAR,
OBSERVATIONS,O_ASC_TECH_REF,C_O_ASC_TECH_REF,Aust soil classification technical reference,VARCHAR,
OBSERVATIONS,O_ASC_CONF,C_O_ASC_CONF,Aust soil classification confidence,VARCHAR,
OBSERVATIONS,O_ASC_ORD,C_O_ASC_ORD,Aust soil classification order p255,VARCHAR,
OBSERVATIONS,O_ASC_SUBORD,C_O_ASC,Aust soil classification suborder,VARCHAR,
OBSERVATIONS,O_ASC_GG,C_O_ASC,Aust soil classification great soil group,VARCHAR,
OBSERVATIONS,O_ASC_SUBG,C_O_ASC,Aust soil classification subgroup,VARCHAR,
OBSERVATIONS,O_ASC_FAM1,C_O_ASC_FAM,Aust soil classification family; likely to be horizon thickness,VARCHAR,
OBSERVATIONS,O_ASC_FAM2,C_O_ASC_FAM,Aust soil classification family; likely to be gravel content,VARCHAR,
OBSERVATIONS,O_ASC_FAM3,C_O_ASC_FAM,Aust soil classification family; likely to be A1 texture,VARCHAR,
OBSERVATIONS,O_ASC_FAM4,C_O_ASC_FAM,Aust soil classification family; likely to be B texture,VARCHAR,
OBSERVATIONS,O_ASC_FAM5,C_O_ASC_FAM,Aust soil classification family; likely to be soil depth,VARCHAR,
OBSERVATIONS,O_ASC_NOTES,,Aust soil classification notes,VARCHAR,
OBSERVATIONS,O_UNI_SOIL_CLASS,,Unified soil classification,VARCHAR,
OBSERVATIONS,O_SOIL_TAXONOMY,C_O_SOIL_TAXONOMY,Soil taxonomy p226,VARCHAR,
OBSERVATIONS,O_TAX_UNIT_TYPE,C_O_TAX_UNIT_TYPE,Taxonomic unit type: Soil type-ST soil series-SS soil profile class-SPC,VARCHAR,
OBSERVATIONS,O_TAX_UNIT_NAME,,"Taxonomic unit name, free text",VARCHAR,
OBSERVATIONS,O_MAP_UNIT_TYPE,C_O_MAP_UNIT_TYPE,Mapping unit type: Land sys-LS land unit-LU soil landscape-SL soil assoc-SA soil cpx-SC,VARCHAR,
OBSERVATIONS,O_MAP_UNIT_NAME,,"Map unit name, free text",VARCHAR,
OBSERVATIONS,O_NOTES,,"Free text notes, additional field",VARCHAR,
OBS_MNG_PRACS,OMP_NO,,Observation mngt practice number,INTEGER,
OBS_MNG_PRACS,OMP_DATE,,Date mngt practice observed ddmmyyyy,VARCHAR,
OBS_MNG_PRACS,OMP_REF,C_MP_REF,Management practice reference e.g. LUMIS Version 1,VARCHAR,
OBS_MNG_PRACS,OMP_COVER,C_MP_CODE,"Observation mngt practice type, e.g. liming, fertiliser",VARCHAR,
OFFICERS,OFFR_CODE,,Officer code p13. Code is unique within each state,VARCHAR,
OFFICERS,OFFR_NAME,,Officer name,VARCHAR,
PANS,PAN_NO,,Pan number,INTEGER,
PANS,PAN_CEMENTATION,C_PAN_CEMENTATION,Pan cementation p192,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/pans-cementation
PANS,PAN_TYPE,C_PAN_TYPE,Type of pan p192,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/pans-type
PANS,PAN_CONTINUITY,C_PAN_CONTINUITY,Continuity of pan p195,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/pans-continuity
PANS,PAN_STRUCTURE,C_PAN_STRUCTURE,Structure of pan p195,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/pans-structure
PATT_GEOMORPHS,PGM_NO,,Pattern geomorphology number,INTEGER,
PATT_GEOMORPHS,PGM_MODE,C_GEOMORPH_MODE,"Pattern, mode of geomorphological activity p52",VARCHAR,
PATT_GEOMORPHS,PGM_AGENT,C_GEOMORPH_AGENT,Pattern geomorphological agent p52,VARCHAR,
PATT_GEOMORPHS,PGM_STAT,C_PGM_STAT,Pattern status of geomorphological activity p54,VARCHAR,
PHS,PH_NO,,pH number,INTEGER,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/field-ph
PHS,PH_VALUE,,Field pH value p198,FLOAT,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/field-ph
PHS,PH_DEPTH,,Depth at which pH recorded (m) p198,FLOAT,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/field-ph
PHS,PH_METHOD,C_PH_METHOD,Field pH method,VARCHAR,
PORES,PORE_NO,,Pore number,INTEGER,
PORES,PORE_ABUN,N_PORE_ABUN,Abundance of macropores p184,VARCHAR,
PORES,PORE_DIAMETER,N_PORE_DIAMETER,Diameter of macropores p185,VARCHAR,
PROJECTS,PROJ_CODE,,Project identifier (unique within each agency),VARCHAR,
PROJECTS,PROJ_NAME,,Name of project,VARCHAR,
PROJECTS,PROJ_MANAGER_CODE,,Officer code p13,VARCHAR,
PROJECTS,PROJ_BIBLIO_REF,,Bibliographic reference,VARCHAR,
PROJECTS,PROJ_START_DATE,,Date of commencement of project ddmmyyyy,VARCHAR,
PROJECTS,PROJ_FINISH_DATE,,Date of completion of project ddmmyyyy,VARCHAR,
ROCK_OUTCROPS,RO_NO,,Rock outcrop number,INTEGER,
ROCK_OUTCROPS,RO_ABUN,N_RO_ABUN,Rock outcrop abundance p143,VARCHAR,
ROCK_OUTCROPS,RO_LITH,C_LITHOLOGY,Rock outcrop lithology p214,VARCHAR,
ROOTS,ROOT_NO,,Root number,INTEGER,
ROOTS,ROOT_ABUN,N_ROOT_ABUN,Root abundance (per 0.01 m2) p199,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/roots-abundance
ROOTS,ROOT_SIZE,N_ROOT_SIZE,Root size (diameter) p199,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/roots-size
SAMPLES,SAMP_NO,,Sample number E.g. Hrz 1 = 0-0.4 m Samp 1= 0-0.2 m Samp 2 = 0.2-0.4 m,INTEGER,
SAMPLES,SAMP_UPPER_DEPTH,,Sample upper depth (m),FLOAT,
SAMPLES,SAMP_LOWER_DEPTH,,Sample lower depth (m),FLOAT,
SAMPLES,SAMP_CONTRIB,,Number of contributing samples,INTEGER,
SAMPLES,SAMP_SIZE,,Size of final sample,VARCHAR,
SAMPLES,SAMP_NOTES,,Free text notes,VARCHAR,
SEGREGATIONS,SEG_NO,,Segregation number,INTEGER,
SEGREGATIONS,SEG_ABUN,N_SEG_ABUN,Segregation abundance p196,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/segregations-abundance
SEGREGATIONS,SEG_NATURE,C_SEG_NATURE,Segregation nature p196,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/segregations-nature
SEGREGATIONS,SEG_FORM,C_SEG_FORM,Segregation form p196,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/segregations-form
SEGREGATIONS,SEG_SIZE,N_SEG_SIZE,Segregation size p197,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/segregations-size
SEGREGATIONS,SEG_STRENGTH,C_SEG_STRENGTH,Segregation strength p197,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/segregations-strength
SEGREGATIONS,SEG_MAGNETIC_ATTR,C_SEG_MAGNETIC_ATTR,Segregation magnetic attributes p198,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/segregations-magnetic
SITES,S_ORIG_TECH_REF,C_TECHNICAL_REF,Technical reference used,VARCHAR,
